1.72	51.7	50.67	44.45	39.99	38.9	0	2.04	2.04	1.88	1.78	1.76	1.5
1.74	51.5	50.5	44	39.1	37.9	0	2.04	2.04	1.88	1.78	1.76	1.5
1.76	51.2	50.27	43.7	37.8	36.1	0	2.04	2.04	1.88	1.78	1.76	1.5
1.78	50.9	50.03	42.85	36.2	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.8	50.6	49.8	42	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.82	50.3	49.4	41	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.84	50	49	39.7	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.86	49.6	48.5	38	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.88	49.05	48	36.5	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.9	48.4	47.5	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.92	47.8	46.75	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.94	47.1	45.9	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.96	45.9	44.9	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
1.98	44.6	43.7	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
2	43	41.7	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
2.02	40.6	39	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5
2.04	37	36	0	0	0	0	2.04	2.04	1.88	1.78	1.76	1.5

